iso3	country	overall	tier	Economic.PC1	Environmental.PC1	Human.PC1	Political.PC1	Security.PC1	Societal.PC1	eco	env	hum	pol	sec	soc
NGA	Nigeria	-1,91226980123201	high	-0,638605514133917	-1,96035190745526	-3,08656080741312	-1,13596923076181	-1,95809692686655	-0,0807673339199278	4	1	1	2	2	3
BGD	Bangladesh	-1,87758026295409	high	-1,53528248546163	-2,98682703388894	0,532636990741684	-2,97700617937979	0,757838433605775	-1,66169636835155	2	2	3	1	4	3
KHM	Cambodia	-1,86507713521552	high	0,377213919132464	-1,76691214200847	-0,157698047298003	-3,56885585439873	-0,758456057601156	-2,67656542818914	4	1	3	1	3	1
TKM	Turkmenistan	-1,78146971289376	high	-0,918306088322479	-0,941046030736941	1,25651125196124	-4,89327166313564	-0,19244129798147	-3,49478404170003	2	2	4	1	3	1
SLE	Sierra Leone	-1,72513302346964	high	-1,1235132428552	-1,62409849513377	-2,77918562753141	0,425642269294488	-0,28656735351107	0,807363706804572	2	2	1	3	3	3
NIC	Nicaragua	-1,68468867472611	high	0,361887560460811	-0,835547219684804	-0,928284771860348	-4,34501477198313	-0,286681969069371	-3,84474904769962	4	3	2	1	4	1
RWA	Rwanda	-1,67135334134845	high	-0,609818960705946	-2,17313963762005	-1,52449270650285	-2,06693672180137	1,21384527902931	-3,29933017925042	2	2	2	2	4	1
GAB	Gabon	-1,61939568096508	high	-1,8094910435408	-0,3114890476813	-1,67500565611112	-2,05780365362215	-0,534806919756313	-0,00502348762032717	2	3	1	2	3	3
LAO	Lao People's Democratic Republic (the)	-1,54012337652511	high	-0,915288985166762	-1,17820547672911	-1,20526085887039	-2,67664298666349	-0,023840050786717	-2,94940181782538	2	2	2	2	4	1
ETH	Ethiopia	-1,53150952011897	high	-0,151981861620085	-1,36166656855965	-3,62021054150533	-2,27150961660968	-3,40852821085226	-1,58522554215846	4	2	1	2	1	1
GTM	Guatemala	-1,47599111268248	high	0,275114003076485	0,0631771870271001	-1,53412641613856	-1,26753779214971	-0,673648440917062	-2,06236182350135	4	3	2	2	3	1
TZA	Tanzania, the United Republic of	-1,44560657929613	high	-0,533247627515289	-1,17519839896099	-2,73075440382114	0,652334290110459	-0,214519158577446	-0,569409103982468	4	3	1	3	3	3
IRN	Iran (Islamic Republic of)	-1,44069846830691	high	-2,72329617278518	-2,01903122258869	1,57655953719625	-3,70619573888814	0,0448014211676857	-2,42419970331573	2	2	4	1	4	1
LBN	Lebanon	-1,37643430307238	high	-1,80059865584007	-0,644398255862389	-0,147730827832055	-1,58920875945006	-1,62376397285019	0,0718931046234877	1	2	3	2	2	4
PSE	West Bank and Gaza Strip	-1,3576909691853	high	-2,13571174939097	0,0194976041166234	0,291238152881945	-2,64464124772131	-3,66510964054958	-1,05568980388635	2	3	3	2	1	3
SLB	Solomon Islands	-1,31016362263344	high	-0,319329724140975	-0,534179626749435	-1,82366571858013	0,679020862873238	-0,667963585261715	-0,158396896576754	4	4	1	3	3	3
CIV	Côte d'Ivoire	-1,29269691853799	high	-0,0580187982011564	-0,429665138777256	-3,05371812240232	-1,0623019408895	-0,317040751916159	-0,690105345906402	4	3	1	2	3	3
GMB	Gambia (the)	-1,27030704963972	high	-1,15498590141992	-0,490633374959388	-2,10424650910814	0,980661920688032	-0,257112720517925	0,834915649703874	2	3	2	3	3	3
MWI	Malawi	-1,22169006597316	high	-1,1554288911857	-0,968410726977832	-2,88380309004371	1,00888984947198	0,807263930666376	0,0533765909591161	2	2	1	3	4	3
KEN	Kenya	-1,20591566841734	high	-0,10949554240711	-1,63150700680822	-1,19299195998353	0,876597602906779	-0,783738623138637	-0,238212903144693	2	2	2	3	4	3
TLS	Timor-Leste	-1,1999975440956	high	-1,78091428135667	-0,251821476834785	-1,08229502933941	1,45757543163859	-0,367479272988903	0,0507541507862161	2	3	2	4	3	3
TGO	Togo	-1,18934791405874	high	-0,0881705862121564	-1,2107735775647	-2,07489798867923	-1,1546849605288	-0,440137272326225	-1,00397833151991	4	2	1	2	4	3
